model,acc@1,acc@5,param_count,img_size,crop_pct,interpolation,engine
vit_huge_patch14_518.swag_e2e,0.89119,0.98854,633470440,518,1,bilinear,pil
vit_large_patch16_512.swag_e2e,0.88476,0.98612,305174504,512,1,bicubic,pil
vit_huge_patch14_224,0.86052,0.97715,632045800,224,1,bicubic,pil
vit_base_patch16_384.swag_e2e,0.85667,0.97657,86859496,384,1,bicubic,pil
vit_large_patch16_224.swag_lin,0.85325,0.97449,304326632,224,1,bicubic,pil
wide_resnet101_2,0.82274,0.95975,127024552,224,1,bicubic,pil
resnet152,0.8212,0.95819,60344232,224,1,bicubic,pil
vit_base_patch16_224.swag_lin,0.81904,0.96169,86567656,224,1,bicubic,pil
resnet101,0.81518,0.95597,44654504,224,1,bicubic,pil
wide_resnet50_2,0.81456,0.95619,68951464,224,1,bicubic,pil
vit_base_patch16_224,0.80634,0.95012,86567656,224,1,bicubic,pil
resnet50,0.8048,0.95184,25610152,224,1,bicubic,pil
vit_large_patch16_224,0.79343,0.94272,304326632,224,1,bicubic,pil
vit_base_patch32_224,0.7423,0.91401,88224232,224,1,bicubic,pil
resnet34,0.71957,0.90413,21814696,224,1,bicubic,pil
resnet18,0.68006,0.88032,11699112,224,1,bicubic,pil
